"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"232","NANDI","NANDI NORTH","SubCounty",30073,28171,3704,NA,3452,15124,1645,3919,319,NA,11251,3198,1697,5265,268,3461,NA,9326,4739,NA
"233","NANDI","NANDI SOUTH","SubCounty",31054,27508,2250,NA,3165,18653,8551,9671,249,NA,18816,2843,1958,8390,492,1965,NA,12941,4965,NA
"234","NANDI","TINDERET","SubCounty",20197,19226,4139,NA,1281,12624,2371,2753,427,NA,8895,1182,2417,4391,162,3093,NA,7383,5886,NA
"235","BARINGO","BARINGO","County",100465,80000,13594,NA,12438,49579,5655,7571,1310,3802,18052,5585,5204,11101,4242,27128,1742,23812,3070,NA
"236","BARINGO","BARINGO CENTRAL","SubCounty",15137,13463,2739,NA,877,10087,1815,2185,316,376,6131,441,1036,1401,1609,5873,120,4799,940,NA
"237","BARINGO","BARINGO NORTH","SubCounty",18409,15300,3927,NA,1052,10260,1940,1974,177,1161,5250,433,999,1432,808,10639,190,4096,705,NA
"238","BARINGO","EAST POKOT","SubCounty",9565,3931,1798,NA,95,1330,77,69,126,363,101,84,185,73,53,1114,140,381,80,NA
"239","BARINGO","KOIBATEK","SubCounty",21544,19234,1545,NA,9351,12917,803,1567,275,416,3617,4069,1192,6054,264,3616,104,9339,707,NA
"240","BARINGO","MARIGAT","SubCounty",13596,11044,1391,NA,574,5507,434,614,151,773,1310,188,935,1035,299,2522,948,2355,428,NA
"241","BARINGO","MOGOTIO","SubCounty",13607,11524,1918,NA,199,7043,537,971,210,397,1552,209,503,784,1185,3195,109,2118,186,NA
"242","BARINGO","TIATY EAST","SubCounty",8607,5504,276,NA,290,2435,49,191,55,316,91,161,354,322,24,169,131,724,24,NA
"243","LAIKIPIA","LAIKIPIA","County",90729,70534,5306,NA,38543,53967,2671,8722,3936,1781,7092,7873,6415,10333,NA,1516,740,17753,4706,NA
